"collision_index","vehicle_reference","vehicle_type","vehicle_manoeuvre","junction_location","skidding_and_overturning","hit_object_in_carriageway","first_point_of_impact","sex_of_driver","age_of_driver","engine_capacity_cc","propulsion_code","age_of_vehicle"
"2025000000001",1,9,19,0,0,0,3,1,30,2987,2,15
"2025000000002",1,9,19,0,5,0,1,1,75,1968,2,10
"2025000000003",1,9,99,9,9,99,9,3,-1,-1,-1,-1
"2025000000004",2,9,9,4,0,0,3,1,32,2143,2,5
"2025000000004",1,9,19,4,0,0,1,1,26,1995,2,10
"2025000000005",1,19,4,1,0,0,1,1,22,1995,2,3
"2025000000005",2,9,4,1,0,0,2,2,22,999,1,1
"2025000000005",3,19,10,1,0,0,2,1,60,1461,2,4
"2025000000006",1,9,19,0,1,0,1,1,19,-1,-1,-1
"2025000000007",2,9,9,8,0,0,4,2,46,998,1,3
"2025000000007",1,21,19,8,0,0,3,1,40,6692,2,10
"2025000000008",1,3,99,9,9,99,9,1,35,-1,-1,-1
"2025000000008",2,9,99,9,9,99,1,3,-1,-1,-1,-1
"2025000000009",2,9,19,0,0,0,1,2,74,-1,3,1
"2025000000009",1,9,2,0,0,0,2,1,39,2191,2,8
"2025000000010",2,9,19,1,0,0,1,1,59,2148,2,19
"2025000000010",1,9,5,6,0,0,1,1,87,1197,8,3
"2025000000011",1,9,99,9,9,99,1,2,35,1399,1,7
"2025000000011",2,9,99,9,9,99,2,3,-1,1560,2,9
"2025000000012",2,9,-1,0,-1,-1,-1,3,-1,-1,-1,-1
"2025000000012",4,9,19,0,0,0,1,1,82,1248,1,7
"2025000000012",1,9,-1,0,-1,-1,-1,3,-1,-1,-1,-1
"2025000000012",3,9,19,0,0,0,2,2,55,999,1,2
"2025000000013",1,9,19,0,0,0,1,3,-1,-1,-1,-1
"2025000000014",1,97,13,1,2,0,1,1,30,-1,-1,-1
"2025000000014",2,9,9,8,0,0,3,1,30,1595,1,3
"2025000000015",2,9,19,0,1,0,1,3,-1,1299,1,18
"2025000000015",1,9,5,0,1,0,3,2,22,1398,1,2
"2025000000016",2,3,19,1,1,0,2,1,17,125,1,2
"2025000000016",1,9,4,8,1,0,2,1,42,1797,8,8
"2025000000016",3,9,19,1,0,0,1,1,45,2993,12,1
"2025000000017",2,3,19,8,0,0,1,1,34,124,1,1
"2025000000017",1,9,9,8,0,0,3,1,59,1968,2,6
"2025000000018",1,9,13,0,0,0,0,3,-1,-1,-1,-1
"2025000000018",2,3,19,0,0,0,0,1,43,-1,-1,-1
"2025000000019",1,9,19,0,0,0,4,2,36,2993,2,16
"2025000000019",2,9,2,0,0,0,0,1,46,1461,2,5
"2025000000020",2,9,4,4,0,0,1,2,37,1498,1,2
"2025000000020",1,9,3,4,0,0,2,1,43,2993,2,15
"2025000000021",1,19,19,0,0,0,-1,1,53,2993,2,1
"2025000000022",2,9,19,0,0,0,2,1,86,1499,2,8
"2025000000022",3,9,19,0,0,0,1,2,56,1329,1,11
"2025000000022",1,9,19,0,1,7,1,1,23,2993,2,11
"2025000000023",1,11,19,2,0,0,1,1,32,6700,2,11
"2025000000023",2,9,3,2,0,0,2,2,72,1598,1,10
"2025000000024",3,9,9,1,0,0,-1,3,30,-1,-1,-1
"2025000000024",4,9,4,1,0,0,1,1,20,1400,2,16
"2025000000024",2,5,13,1,0,0,1,1,35,1254,1,1
"2025000000024",1,97,19,2,0,0,-1,3,20,-1,-1,-1
"2025000000025",1,9,19,0,0,0,1,2,21,1242,1,6
"2025000000026",1,19,19,0,1,0,1,1,47,1686,2,20
"2025000000027",2,19,2,0,0,0,0,1,21,1499,2,4
"2025000000027",3,9,19,0,0,0,0,1,33,1499,2,5
"2025000000027",1,19,19,0,5,11,3,1,34,1995,2,1
"2025000000028",1,9,5,6,0,0,1,2,24,1398,2,11
"2025000000028",2,97,5,6,0,0,4,1,28,-1,-1,-1
"2025000000029",2,19,2,1,0,0,2,3,-1,1995,2,1
"2025000000029",1,9,19,1,0,4,1,1,37,999,1,0
"2025000000030",1,19,19,1,0,0,1,1,30,2179,2,18
"2025000000030",2,9,19,1,0,0,4,2,23,1388,1,14
